# e5548cc6-7b28-4809-9300-0886a9aff6bb
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.1310625; 0.8290712; 1.6985377; 0.1499477; 4.0000000; 0.0000000
0.1984982; -0.3275396; 0.8008693; 1.7281254; 0.1481963; 4.0000000; 0.0000000
0.3969964; -0.5231022; 0.7669000; 1.7573835; 0.1466216; 4.0000000; 0.0000000
0.5954945; -0.7175937; 0.7272536; 1.7863453; 0.1452131; 4.0000000; 0.0000000
0.7939927; -0.9108618; 0.6820177; 1.8150437; 0.1439658; 4.0000000; 0.0000000
0.9924909; -1.1027586; 0.6312774; 1.8435099; 0.1428740; 4.0000000; 0.0000000
1.1909891; -1.2931393; 0.5751156; 1.8717730; 0.1419193; 4.0000000; 0.0000000
1.3894873; -1.4818623; 0.5136130; 1.8998646; 0.1411464; 4.0000000; 0.0000000
1.5879854; -1.6687900; 0.4468529; 1.9277271; 0.1396117; 4.0000000; 0.0000000
1.7864836; -1.8537621; 0.3748529; 1.9566956; 0.1523445; 4.0000000; 0.0000000
1.9849818; -2.0363346; 0.2969809; 1.9934147; 0.2180716; 4.0000000; 0.0000000
2.1834800; -2.2153338; 0.2112382; 2.0440778; 0.2924592; 4.0000000; -0.1162769
2.3819782; -2.3890476; 0.1152677; 2.1094081; 0.3658460; 3.9942256; -3.6662058
2.5804764; -2.5553285; 0.0069593; 2.1892677; 0.4390934; 3.8076723; -3.2443528
2.7789745; -2.7115350; -0.1153993; 2.2837583; 0.5136204; 3.6346075; -2.8908405
2.9774727; -2.8544568; -0.2530077; 2.3933340; 0.5915805; 3.4731425; -2.5459038
3.1759709; -2.9802409; -0.4064014; 2.5190240; 0.6766873; 3.3244555; -2.1503031
3.3744691; -3.0843126; -0.5752384; 2.6625251; 0.7719341; 3.1934842; -1.4478911
3.5729673; -3.1613019; -0.7579651; 2.8270902; 0.8908970; 3.1021822; -0.2789762
3.7714654; -3.2049371; -0.9513271; 3.0165640; 1.0241216; 3.0842798; -0.1018363
3.9699636; -3.2092763; -1.1494300; -3.0600596; 1.0471838; 3.0777188; -0.0651689
4.1684618; -3.1726987; -1.3441636; -2.8516920; 1.0539273; 3.0735128; -0.0210547
4.3669600; -3.0965251; -1.5270739; -2.6422191; 1.0595328; 3.0721527; -0.0210547
4.5654582; -2.9841244; -1.6902501; -2.4367756; 1.0035236; 3.0707921; 0.5159730
4.7639563; -2.8419491; -1.8283246; -2.2519750; 0.8456706; 3.1039657; 1.8308058
4.9624545; -2.6785658; -1.9406950; -2.0996729; 0.6913092; 3.2189170; 2.8139360
5.1609527; -2.5012555; -2.0296421; -1.9764796; 0.5513876; 3.3880007; 3.6452640
5.3594509; -2.3152263; -2.0986712; -1.8800537; 0.4211703; 3.5952337; 4.5272416
5.5579491; -2.1240393; -2.1519150; -1.8088837; 0.2964003; 3.8370567; 3.2166445
5.7564473; -1.9300266; -2.1938236; -1.7622632; 0.1733926; 4.0000000; 0.0000000
5.9549454; -1.7346743; -2.2290221; -1.7398525; 0.0526542; 4.0000000; 0.0000000
6.1534436; -1.5389429; -2.2620512; -1.7390891; -0.0409709; 4.0000000; 0.0000000
6.3519418; -1.3434444; -2.2964187; -1.7514934; -0.0756857; 4.0000000; 0.0000000
6.5504400; -1.1484778; -2.3336823; -1.7683403; -0.0928385; 4.0000000; 0.0000000
6.7489382; -0.9542319; -2.3745326; -1.7883411; -0.1087151; 4.0000000; 0.0000000
6.9474363; -0.7609136; -2.4195646; -1.8114988; -0.1246165; 4.0000000; 0.0000000
7.1459345; -0.5687695; -2.4693642; -1.8378195; -0.1406028; 4.0000000; 0.0000000
7.3444327; -0.3780912; -2.5245062; -1.8673228; -0.1566836; 4.0000000; 0.0000000
7.5429309; -0.1892213; -2.5855510; -1.9000342; -0.1729446; 4.0000000; 0.0000000
7.7414291; -0.0025507; -2.6530187; -1.9355231; -0.1835891; 4.0000000; 0.0000000
7.9399272; 0.1815672; -2.7271674; -1.9713910; -0.1742356; 4.0000000; 0.0000000
8.1384254; 0.3630388; -2.8075795; -2.0034094; -0.1454277; 4.0000000; 0.0000000
8.3369236; 0.5421212; -2.8931866; -2.0288537; -0.1104218; 4.0000000; 0.0000000
8.5354218; 0.7192853; -2.9826988; -2.0472409; -0.0748548; 4.0000000; 0.0000000
8.7339200; 0.8951006; -3.0748335; -2.0585635; -0.0392112; 4.0000000; 0.0000000
8.9324182; 1.0701936; -3.1683340; -2.0628120; -0.0036148; 4.0000000; 0.0000000
9.1309163; 1.2452190; -3.2619608; -2.0600137; 0.0317631; 4.0000000; 0.0000000
9.3294145; 1.4208298; -3.3544831; -2.0502300; 0.0667387; 4.0000000; 0.0000000
9.5279127; 1.5976491; -3.4446722; -2.0335582; 0.1011399; 4.0000000; 0.0000000
9.7264109; 1.7762408; -3.5312950; -2.0101261; 0.1348337; 4.0000000; 0.0000000
9.9249091; 1.9570840; -3.6131092; -1.9800824; 0.1677480; 4.0000000; 0.0000000
10.1234072; 2.1405479; -3.6888592; -1.9435823; 0.1998886; 4.0000000; 0.0000000
10.3219054; 2.3268694; -3.7572731; -1.9007710; 0.2313521; 4.0000000; 0.0000000
10.5204036; 2.5161324; -3.8170620; -1.8517648; 0.2623358; 4.0000000; 0.0000000
10.7189018; 2.7082480; -3.8669180; -1.7966306; 0.2931393; 4.0000000; 0.0000000
10.9174000; 2.9029348; -3.9055148; -1.7353648; 0.3241801; 4.0000000; 0.0000000
11.1158981; 3.0996955; -3.9315078; -1.6678663; 0.3560250; 4.0000000; 0.0000000
11.3143963; 3.2977958; -3.9435362; -1.5939172; 0.3893007; 4.0000000; 0.0000000
11.5128945; 3.4962255; -3.9402264; -1.5131440; 0.4249070; 4.0000000; 0.0000000
11.7113927; 3.6936580; -3.9202008; -1.4249928; 0.4638919; 4.0000000; -2.3168054
11.9098909; 3.8883953; -3.8820919; -1.3286429; 0.5078824; 3.8833280; -2.0660348
12.1083891; 4.0782864; -3.8245619; -1.2229282; 0.5586088; 3.7762453; -1.5778804
12.3068872; 4.2606111; -3.7463527; -1.1061988; 0.6199774; 3.6923726; -0.7960966
12.5053854; 4.4319163; -3.6463380; -0.9760715; 0.6933407; 3.6493243; -0.0296827
12.7038836; 4.5878601; -3.5238130; -0.8317583; 0.7515528; 3.6477094; -0.0296827
12.9023818; 4.7239179; -3.3795825; -0.6811804; 0.7430530; 3.6460938; 0.0921968
13.1008800; 4.8373514; -3.2169202; -0.5384918; 0.6904608; 3.6511097; 0.7660040
13.2993781; 4.9274998; -3.0402403; -0.4069260; 0.6358189; 3.6925199; 1.3003815
13.4978763; 4.9946747; -2.8535789; -0.2855520; 0.5878707; 3.7617748; 1.6495033
13.6963745; 5.0396401; -2.6603436; -0.1730924; 0.5459681; 3.8478301; 1.8834779
13.8948727; 5.0634229; -2.4633606; -0.0684346; 0.5091066; 3.9437964; 1.1246193
14.0933709; 5.0671943; -2.2649741; 0.0293431; 0.4766023; 4.0000000; 0.0000000
14.2918690; 5.0521948; -2.0671110; 0.1210256; 0.4476620; 4.0000000; 0.0000000
14.4903672; 5.0196825; -1.8713533; 0.2072844; 0.4218465; 4.0000000; 0.0000000
14.6888654; 4.9709009; -1.6789978; 0.2886776; 0.3985981; 4.0000000; 0.0000000
14.8873636; 4.9070592; -1.4910974; 0.3656806; 0.3775724; 4.0000000; 0.0000000
15.0858618; 4.8293193; -1.3085036; 0.4387038; 0.3584648; 4.0000000; 0.0000000
15.2843600; 4.7387880; -1.1318980; 0.5081031; 0.3410296; 4.0000000; 0.0000000
15.4828581; 4.6365121; -0.9618204; 0.5741896; 0.3250618; 4.0000000; 0.0000000
15.6813563; 4.5234774; -0.7986914; 0.6372374; 0.3103914; 4.0000000; 0.0000000
15.8798545; 4.4006083; -0.6428322; 0.6974897; 0.2968759; 4.0000000; 0.0000000
16.0783527; 4.2687691; -0.4944804; 0.7551636; 0.2843948; 4.0000000; 0.0000000
16.2768509; 4.1287661; -0.3538041; 0.8104539; 0.2728457; 4.0000000; 0.0000000
16.4753490; 3.9813500; -0.2209135; 0.8635370; 0.2621413; 4.0000000; 0.0000000
