# 6cf18cd1-6833-43b3-b025-bc2147900d73
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.2278042; 4.3368981; -3.1138162; -0.0144774; 3.0000000; 0.0000000
0.1994765; -2.2224475; 4.1374935; -3.1150900; 0.0025206; 3.0000000; 0.0000000
0.3989531; -2.2169879; 3.9380917; -3.1127294; 0.0211468; 3.0000000; 0.0000000
0.5984296; -2.2106871; 3.7387150; -3.1066534; 0.0397732; 3.0000000; 0.0000000
0.7979062; -2.2028048; 3.5393951; -3.0968616; 0.0584015; 3.0000000; 0.0000000
0.9973827; -2.1926012; 3.3401812; -3.0833554; 0.0770083; 3.0000000; 0.0000000
1.1968592; -2.1793387; 3.1411485; -3.0661394; 0.0956073; 3.0000000; 0.0000000
1.3963358; -2.1622831; 2.9424061; -3.0452103; 0.1142408; 3.0000000; 0.0000000
1.5958123; -2.1407032; 2.7441053; -3.0205588; 0.1329339; 3.0000000; 0.0000000
1.7952889; -2.1138731; 2.5464482; -2.9921697; 0.1517210; 3.0000000; 0.0000000
1.9947654; -2.0810740; 2.3496953; -2.9600199; 0.1706479; 3.0000000; 0.0000000
2.1942419; -2.0415974; 2.1541749; -2.9240760; 0.1897738; 3.0000000; 0.0000000
2.3937185; -1.9947491; 1.9602913; -2.8842910; 0.2091733; 3.0000000; 0.0000000
2.5931950; -1.9398536; 1.7685335; -2.8406014; 0.2289390; 3.0000000; 0.0000000
2.7926716; -1.8762607; 1.5794850; -2.7929232; 0.2491845; 3.0000000; 0.0000000
2.9921481; -1.8033526; 1.3938337; -2.7411474; 0.2700484; 3.0000000; 0.0000000
3.1916247; -1.7205536; 1.2123817; -2.6851343; 0.2916990; 3.0000000; 0.0000000
3.3911012; -1.6273416; 1.0360572; -2.6247073; 0.3143404; 3.0000000; 0.0000000
3.5905777; -1.5232628; 0.8659264; -2.5596449; 0.3382213; 3.0000000; 0.0000000
3.7900543; -1.4079504; 0.7032067; -2.4896704; 0.3636453; 3.0000000; 0.0000000
3.9895308; -1.2811471; 0.5492811; -2.4144401; 0.3909838; 3.0000000; 0.0000000
4.1890074; -1.1427828; 0.4056665; -2.3348685; 0.4004112; 3.0000000; 0.0000000
4.3884839; -0.9934397; 0.2735041; -2.2558983; 0.3917456; 3.0000000; 0.0000000
4.5879604; -0.8342289; 0.1534085; -2.1784214; 0.3854448; 3.0000000; 0.0000000
4.7874370; -0.6662586; 0.0459027; -2.1019724; 0.3814231; 3.0000000; 0.0000000
4.9869135; -0.4905984; -0.0485184; -2.0261046; 0.3796104; 3.0000000; 0.0000000
5.1863901; -0.3082955; -0.1293735; -1.9503809; 0.3799760; 3.0000000; 0.0000000
5.3858666; -0.1203912; -0.1961848; -1.8743667; 0.3825271; 3.0000000; 0.0000000
5.5853431; 0.0720604; -0.2484702; -1.7976223; 0.3873081; 3.0000000; 0.0000000
5.7848197; 0.2679734; -0.2857380; -1.7196950; 0.3944049; 3.0000000; 0.0000000
5.9842962; 0.4662081; -0.3074847; -1.6401107; 0.4039469; 3.0000000; 0.0000000
6.1837728; 0.6655474; -0.3131960; -1.5583645; 0.4161157; 3.0000000; 0.0000000
6.3832493; 0.8646696; -0.3023512; -1.4739094; 0.4311541; 3.0000000; 0.0000000
6.5827258; 1.0621182; -0.2744323; -1.3861424; 0.4493825; 3.0000000; 0.0000000
6.7822024; 1.2562661; -0.2289393; -1.2943871; 0.4712218; 3.0000000; 0.0000000
6.9816789; 1.4452756; -0.1654139; -1.1978706; 0.4972253; 3.0000000; 0.0000000
7.1811555; 1.6270505; -0.0834737; -1.0956931; 0.5281195; 3.0000000; 0.0000000
7.3806320; 1.7991816; 0.0171372; -0.9867869; 0.5648759; 3.0000000; 0.0000000
7.5801085; 1.9588821; 0.1364746; -0.8698581; 0.6088124; 3.0000000; 0.0000000
7.7795851; 2.1029146; 0.2742880; -0.7433030; 0.6617486; 3.0000000; 0.0000000
7.9790616; 2.2275093; 0.4298639; -0.6050847; 0.7262631; 3.0000000; 0.0000000
8.1785382; 2.3282779; 0.6017930; -0.4525432; 0.8061119; 3.0000000; -0.1610325
8.3780147; 2.4001379; 0.7876181; -0.2820972; 0.9069292; 2.9892734; -1.2668917
8.5774912; 2.4372815; 0.9832906; -0.0887449; 1.0377006; 2.9035022; -0.5863835
8.7769678; 2.4334752; 1.1823297; 0.1307322; 1.1502929; 2.8629331; -0.0146173
8.9764443; 2.3845911; 1.3752412; 0.3679662; 1.2209186; 2.8619144; -0.0146173
9.1759209; 2.2922074; 1.5515746; 0.5893873; 0.9867964; 2.8608954; 1.9087381
9.3753974; 2.1669758; 1.7065233; 0.7622078; 0.7501660; 2.9910231; 0.1348041
9.5748740; 2.0199229; 1.8411055; 0.8897999; 0.5308003; 3.0000000; 0.0000000
9.7743505; 1.8593973; 1.9594214; 0.9743835; 0.3177572; 3.0000000; 0.0000000
9.9738270; 1.6916596; 2.0673516; 1.0166701; 0.1062948; 3.0000000; 0.0000000
10.1733036; 1.5216584; 2.1717085; 1.0168033; -0.1049458; 3.0000000; 0.0000000
10.3727801; 1.3538911; 2.2795932; 0.9748003; -0.3162472; 3.0000000; 0.0000000
10.5722567; 1.1932970; 2.3978169; 0.8905442; -0.5290457; 3.0000000; 0.0000000
10.7717332; 1.0458266; 2.5319655; 0.7718247; -0.6177961; 3.0000000; 0.0000000
10.9712097; 0.9155538; 2.6828768; 0.6544143; -0.5588906; 3.0000000; 0.0000000
11.1706863; 0.8028830; 2.8473732; 0.5485132; -0.5038844; 3.0000000; 0.0000000
11.3701628; 0.7072938; 3.0223687; 0.4530443; -0.4540370; 3.0000000; 0.0000000
11.5696394; 0.6279299; 3.2053108; 0.3671215; -0.4079789; 3.0000000; 0.0000000
11.7691159; 0.5637053; 3.3941134; 0.2900963; -0.3646803; 3.0000000; 0.0000000
11.9685924; 0.5133766; 3.5870962; 0.2214998; -0.3233592; 3.0000000; 0.0000000
12.1680690; 0.4755947; 3.7829310; 0.1609994; -0.2834216; 3.0000000; 0.0000000
12.3675455; 0.4489411; 3.9805957; 0.1083660; -0.2444181; 3.0000000; 0.0000000
12.5670221; 0.4319540; 4.1793308; 0.0634484; -0.2060143; 3.0000000; 0.0000000
12.7664986; 0.4231468; 4.3786013; 0.0261525; -0.1679681; 3.0000000; 0.0000000
12.9659751; 0.4210207; 4.5780592; -0.0035754; -0.1301120; 3.0000000; 0.0000000
13.1654517; 0.4240718; 4.7775083; -0.0257614; -0.0923373; 3.0000000; 0.0000000
13.3649282; 0.4307959; 4.9768697; -0.0404147; -0.0545801; 3.0000000; 0.0000000
13.5644048; 0.4396902; 5.1761475; -0.0475353; -0.0168085; 3.0000000; 0.0000000
13.7638813; 0.4492525; 5.3753947; -0.0471187; 0.0209916; 3.0000000; 0.0000000
13.9633578; 0.4579802; 5.5746797; -0.0391583; 0.0588283; 3.0000000; 0.0000000
14.1628344; 0.4643687; 5.7740519; -0.0236456; 0.0967177; 3.0000000; 0.0000000
14.3623109; 0.4669094; 5.9735079; -0.0005668; 0.1346961; 3.0000000; 0.0000000
14.5617875; 0.4640902; 6.1729567; 0.0301022; 0.1728334; 3.0000000; 0.0000000
14.7612640; 0.4543972; 6.3721853; 0.0684039; 0.2112460; 3.0000000; 0.0000000
14.9607405; 0.4363190; 6.5708233; 0.1144096; 0.2501110; 3.0000000; 0.0000000
15.1602171; 0.4083557; 6.7683058; 0.1682337; 0.2896840; 3.0000000; 0.0000000
15.3596936; 0.3690319; 6.9638355; 0.2300506; 0.3303143; 3.0000000; 0.0000000
15.5591702; 0.3169167; 7.1563417; 0.3001157; 0.3724709; 3.0000000; 0.0000000
15.7586467; 0.2506521; 7.3444358; 0.3787929; 0.4167786; 3.0000000; 0.0000000
15.9581233; 0.1689927; 7.5263619; 0.4665896; 0.4640598; 3.0000000; 0.0000000
16.1575998; 0.0708619; 7.6999410; 0.5642023; 0.5154021; 3.0000000; 0.0000000
16.3570763; -0.0445695; 7.8625067; 0.6725788; 0.5722593; 3.0000000; 0.0000000
16.5565529; -0.1777698; 8.0108325; 0.7930059; 0.6366080; 3.0000000; 0.0000000
16.7560294; -0.3286828; 8.1410499; 0.9272351; 0.7111883; 3.0000000; 0.0000000
16.9555060; -0.4964840; 8.2485616; 1.0776751; 0.7999293; 3.0000000; -0.2951717
17.1549825; -0.6792147; 8.3279644; 1.2476938; 0.9086940; 2.9803088; -1.2334635
17.3544590; -0.8732157; 8.3730157; 1.4421264; 1.0466456; 2.8965749; -0.0149628
17.5539356; -1.0722378; 8.3767837; 1.6664998; 1.1927229; 2.8955443; -0.0149628
17.7534121; -1.2669340; 8.3353190; 1.8896197; 1.0377963; 2.8945133; 1.2901754
17.9528887; -1.4490087; 8.2545885; 2.0819831; 0.8968818; 2.9821011; 0.2683855
18.1523652; -1.6138183; 8.1426241; 2.2493756; 0.7853584; 3.0000000; 0.0000000
18.3518417; -1.7591357; 8.0062347; 2.3965912; 0.6933171; 3.0000000; 0.0000000
18.5513183; -1.8842537; 7.8510566; 2.5268518; 0.6145372; 3.0000000; 0.0000000
18.7507948; -1.9894482; 7.6817024; 2.6423659; 0.5449043; 3.0000000; 0.0000000
18.9502714; -2.0756418; 7.5019055; 2.7446595; 0.4815920; 3.0000000; 0.0000000
19.1497479; -2.1441856; 7.3146470; 2.8347836; 0.4226094; 3.0000000; 0.0000000
19.3492244; -2.1967138; 7.1222641; 2.9134521; 0.3665331; 3.0000000; 0.0000000
19.5487010; -2.2350446; 6.9265437; 2.9811373; 0.3123441; 3.0000000; 0.0000000
19.7481775; -2.2611123; 6.7288050; 3.0381394; 0.2593204; 3.0000000; 0.0000000
19.9476541; -2.2769195; 6.5299738; 3.0846380; 0.2069660; 3.0000000; 0.0000000
20.1471306; -2.2845060; 6.3306524; 3.1207319; 0.1549569; 3.0000000; 0.0000000
20.3466071; -2.2859283; 6.1311864; -3.1367167; 0.1031085; 3.0000000; 0.0000000
20.5460837; -2.2831988; 5.9317307; -3.1203315; 0.0660934; 3.0000000; 0.0000000
20.7455602; -2.2777915; 5.7323285; -3.1093740; 0.0437701; 3.0000000; 0.0000000
20.9450368; -2.2706434; 5.5329804; -3.1028690; 0.0214514; 3.0000000; 0.0000000
21.1445133; -2.2626423; 5.3336645; -3.1008159; -0.0008636; 3.0000000; 0.0000000
21.3439898; -2.2546400; 5.1343485; -3.1025009; -0.0124604; 3.0000000; 0.0000000
21.5434664; -2.2470979; 4.9350147; -3.1050773; -0.0133717; 3.0000000; 0.0000000
21.7429429; -2.2400875; 4.7356614; -3.1078356; -0.0142830; 3.0000000; 0.0000000
21.9424195; -2.2336450; 4.5362890; -3.1107756; -0.0151945; 3.0000000; 0.0000000
22.1418960; -2.2278042; 4.3368981; -3.1138162; -0.0144774; 3.0000000; 0.0000000
