# 1e8d2aae-57ec-4bd5-b7cc-a1ac2ab37220
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.0068201; 8.6255342; 1.6365228; 1.0956512; 3.0000000; 0.0000000
0.1995991; -1.2031509; 8.5915897; 1.8439939; 0.9917474; 3.0000000; 0.0000000
0.3991982; -1.3891461; 8.5199439; 2.0286918; 0.8639267; 3.0000000; 0.0000000
0.5987972; -1.5601047; 8.4173447; 2.1905011; 0.7608180; 3.0000000; 0.0000000
0.7983963; -1.7135742; 8.2899894; 2.3335824; 0.6752315; 3.0000000; 0.0000000
0.9979954; -1.8485339; 8.1431146; 2.4608602; 0.6017745; 3.0000000; 0.0000000
1.1975945; -1.9649146; 7.9810875; 2.5743857; 0.5369500; 3.0000000; 0.0000000
1.3971936; -2.0632887; 7.8075119; 2.6756185; 0.4782565; 3.0000000; 0.0000000
1.5967926; -2.1446648; 7.6253280; 2.7655941; 0.4239008; 3.0000000; 0.0000000
1.7963917; -2.2103489; 7.4369015; 2.8450404; 0.3725669; 3.0000000; 0.0000000
1.9959908; -2.2618489; 7.2441020; 2.9144590; 0.3232853; 3.0000000; 0.0000000
2.1955899; -2.3008071; 7.0483719; 2.9741847; 0.2753446; 3.0000000; 0.0000000
2.3951890; -2.3289534; 6.8507884; 3.0244312; 0.2282318; 3.0000000; 0.0000000
2.5947880; -2.3480719; 6.6521210; 3.0653258; 0.1815899; 3.0000000; 0.0000000
2.7943871; -2.3599782; 6.4528857; 3.0969373; 0.1351843; 3.0000000; 0.0000000
2.9939862; -2.3665047; 6.2533975; 3.1192976; 0.0888751; 3.0000000; 0.0000000
3.1935853; -2.3694916; 6.0538222; 3.1324178; 0.0425936; 3.0000000; 0.0000000
3.3931844; -2.3707364; 5.8542271; 3.1369829; 0.0031553; 3.0000000; 0.0000000
