# bb6562cd-23b5-4eed-830c-15f232848bf3
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -7.9696041; 3.1679960; 2.3650955; 0.6902278; 3.5175929; -0.7481001
0.1991066; -8.0985697; 3.0165287; 2.5100168; 0.7679522; 3.4749902; -0.0215354
0.3982132; -8.2030901; 2.8473057; 2.6686014; 0.8287077; 3.4737560; -0.0215354
0.5973197; -8.2791901; 2.6635410; 2.8273993; 0.7701095; 3.4725215; 0.6921871
0.7964263; -8.3265055; 2.4703180; 2.9729757; 0.6946856; 3.5119857; 1.4097057
0.9955329; -8.3466896; 2.2723814; 3.1048888; 0.6322381; 3.5910175; 1.8240183
1.1946395; -8.3418292; 2.0734540; -3.0577768; 0.5797994; 3.6907662; 2.0778043
1.3937461; -8.3140600; 1.8763958; -2.9469029; 0.5350345; 3.8012056; 2.2434121
1.5928527; -8.2654726; 1.6833981; -2.8443168; 0.4963173; 3.9169529; 2.3578606
1.7919592; -8.1980622; 1.4961299; -2.7489419; 0.4624274; 4.0350280; 2.4419548
1.9910658; -8.1137036; 1.3158495; -2.6599124; 0.4324445; 4.1537778; 2.5078661
2.1901724; -8.0141410; 1.1434898; -2.5765242; 0.4056582; 4.2722986; 2.5631349
2.3892790; -7.9009857; 0.9797242; -2.4981985; 0.3815114; 4.3901263; 2.6126553
2.5883856; -7.7757196; 0.8250182; -2.4244554; 0.3595609; 4.5070614; 2.6597707
2.7874921; -7.6397004; 0.6796692; -2.3548944; 0.3394494; 4.6230681; 2.7068869
2.9865987; -7.4941690; 0.5438390; -2.2891793; 0.3208857; 4.7382145; 2.7558324
3.1857053; -7.3402565; 0.4175787; -2.2270265; 0.3036297; 4.8526369; 2.8080773
3.3848119; -7.1789919; 0.3008490; -2.1681963; 0.2874817; 4.9665178; 2.8648695
3.5839185; -7.0113094; 0.1935373; -2.1124850; 0.2722744; 5.0800716; 2.9273238
3.7830251; -6.8380550; 0.0954701; -2.0597199; 0.2578662; 5.1935370; 2.9964816
3.9821316; -6.6599929; 0.0064245; -2.0097541; 0.2441371; 5.3071711; 3.0733520
4.1812382; -6.4778116; -0.0738629; -1.9624630; 0.2309842; 5.4212465; 3.1589428
4.3803448; -6.2921295; -0.1456890; -1.9177407; 0.2183194; 5.5360497; 3.2542839
4.5794514; -6.1034993; -0.2093777; -1.8754979; 0.2060668; 5.6518798; 3.3604469
4.7785580; -5.9124137; -0.2652749; -1.8356592; 0.1941607; 5.7690484; 3.4785623
4.9776646; -5.7193088; -0.3137446; -1.7981613; 0.1825446; 5.8878798; 3.6098355
5.1767711; -5.5245687; -0.3551647; -1.7629515; 0.1711693; 6.0087114; 3.7555630
5.3758777; -5.3285289; -0.3899247; -1.7299862; 0.1599928; 6.1318943; 3.9171487
5.5749843; -5.1314802; -0.4184228; -1.6992295; 0.1489784; 6.2577941; 4.0961216
5.7740909; -4.9336719; -0.4410639; -1.6706524; 0.1380949; 6.3867924; 4.2941552
5.9731975; -4.7353149; -0.4582581; -1.6442314; 0.1273158; 6.5192872; 4.5130890
6.1723040; -4.5365849; -0.4704188; -1.6199481; 0.1166183; 6.6556951; 4.7549527
6.3714106; -4.3376253; -0.4779620; -1.5977883; 0.1059836; 6.7964522; 5.0219938
6.5705172; -4.1385501; -0.4813053; -1.5777409; 0.0953960; 6.9420160; 2.0301025
6.7696238; -3.9394467; -0.4808669; -1.5597980; 0.0848427; 7.0000000; 0.0000000
6.9687304; -3.7403785; -0.4770652; -1.5439538; 0.0743136; 7.0000000; 0.0000000
7.1678370; -3.5413878; -0.4703185; -1.5302043; 0.0638006; 7.0000000; 0.0000000
7.3669435; -3.3424984; -0.4610445; -1.5185469; 0.0532979; 7.0000000; 0.0000000
7.5660501; -3.1437183; -0.4496605; -1.5089800; 0.0428011; 7.0000000; 0.0000000
7.7651567; -2.9450421; -0.4365828; -1.5015027; 0.0323074; 7.0000000; 0.0000000
7.9642633; -2.7464540; -0.4222275; -1.4961146; 0.0218150; 7.0000000; 0.0000000
8.1633699; -2.5479299; -0.4070096; -1.4928157; 0.0113229; 7.0000000; 0.0000000
8.3624764; -2.3494405; -0.3913442; -1.4916057; 0.0008309; 7.0000000; 0.0000000
8.5615830; -2.1509538; -0.3756460; -1.4924848; -0.0096611; 7.0000000; -6.8875205
8.7606896; -1.9524373; -0.3603297; -1.4954529; -0.0201531; 6.8012718; -8.7657199
8.9597962; -1.7538610; -0.3458100; -1.5005100; -0.0306454; 6.5396234; -8.4493639
9.1589028; -1.5552001; -0.3325022; -1.5076564; -0.0411389; 6.2771033; -8.1985403
9.3580094; -1.3564371; -0.3208222; -1.5168923; -0.0516351; 6.0114274; -8.0116240
9.5571159; -1.1575649; -0.3111862; -1.5282184; -0.0621355; 5.7399412; -8.0041311
9.7562225; -0.9585922; -0.3039171; -1.5402156; -0.0583744; 5.4552337; -8.2778029
9.9553291; -0.7595574; -0.2985808; -1.5457326; 0.0029572; 5.1442438; -8.1695692
10.1544357; -0.5605291; -0.2930193; -1.5374093; 0.0806485; 4.8176773; -6.7777790
10.3535423; -0.3616201; -0.2842593; -1.5135639; 0.1588818; 4.5289087; -5.7050442
10.5526488; -0.1630958; -0.2692126; -1.4741306; 0.2372642; 4.2707365; -4.8765329
10.7517554; 0.0344842; -0.2448076; -1.4190481; 0.3161600; 4.0369903; -4.2361872
10.9508620; 0.2301207; -0.2080207; -1.3481498; 0.3962857; 3.8223533; -3.7405622
11.1499686; 0.4222264; -0.1559257; -1.2610802; 0.4788453; 3.6222705; -3.3540083
11.3490752; 0.6084707; -0.0857757; -1.1571812; 0.5657100; 3.4329628; -3.0441363
11.5481818; 0.7856097; 0.0048688; -1.0353354; 0.6596728; 3.2516178; -2.7745625
11.7472883; 0.9492951; 0.1179383; -0.8937402; 0.7649154; 3.0770361; -2.4919263
11.9463949; 1.0938514; 0.2545342; -0.7295774; 0.8876060; 2.9113284; -2.0721295
12.1455015; 1.2120203; 0.4144082; -0.5384269; 1.0380150; 2.7659870; -1.1764459
12.3446081; 1.2946989; 0.5950787; -0.3134826; 1.2303142; 2.6799641; -0.0128086
12.5437147; 1.3315105; 0.7901892; -0.0540089; 1.3933191; 2.6790123; -0.0128086
12.7428213; 1.3159319; 0.9881287; 0.2057045; 1.2327065; 2.6780602; 1.1462216
12.9419278; 1.2531074; 1.1766216; 0.4313875; 1.0431068; 2.7619643; 2.0291012
13.1410344; 1.1525922; 1.3481402; 0.6238695; 0.8960006; 2.9045588; 2.4258688
13.3401410; 1.0231132; 1.4990968; 0.7900985; 0.7774110; 3.0663455; 2.6736323
13.5392476; 0.8718279; 1.6282772; 0.9346640; 0.6771619; 3.2352975; 2.8933645
13.7383542; 0.7044945; 1.7359383; 1.0605676; 0.5891356; 3.4087133; 3.1339050
13.9374607; 0.5256705; 1.8232666; 1.1698005; 0.5091488; 3.5871003; 3.4256720
14.1365673; 0.3388969; 1.8920421; 1.2636631; 0.4343577; 3.7724576; 3.7930674
14.3356739; 0.1468579; 1.9444232; 1.3429818; 0.3627904; 3.9676045; 4.2609015
14.5347805; -0.0484783; 1.9828053; 1.4082556; 0.2930987; 4.1759589; 4.8576382
14.7338871; -0.2457342; 2.0097277; 1.4597629; 0.2243924; 4.4014779; 5.2654259
14.9329937; -0.4440058; 2.0278127; 1.4976406; 0.1561246; 4.6335483; 5.2616839
15.1321002; -0.6427507; 2.0397266; 1.5219433; 0.0880012; 4.8543838; 5.2579446
15.3312068; -0.8416778; 2.0481566; 1.5326853; 0.0199011; 5.0654540; 5.2542079
15.5303134; -1.0406376; 2.0557984; 1.5298681; -0.0481993; 5.2679331; 5.2504739
15.7294200; -1.2395127; 2.0653490; 1.5134915; -0.1163029; 5.4627765; 5.2467425
15.9285266; -1.4381083; 2.0795017; 1.4835515; -0.1844563; 5.6507742; 4.0530922
16.1276331; -1.6360533; 2.1008409; 1.4414786; -0.2382273; 5.7918256; 1.9487407
16.3267397; -1.8328194; 2.1311608; 1.3944770; -0.2339982; 5.8584348; 1.9076348
16.5258463; -2.0279802; 2.1705193; 1.3497181; -0.2156740; 5.9229134; 2.3713532
16.7249529; -2.2212737; 2.2182214; 1.3085672; -0.1977385; 6.0021002; 2.8121371
16.9240595; -2.4125417; 2.2734964; 1.2709555; -0.1801108; 6.0946728; 3.2434857
17.1231661; -2.6017067; 2.3355948; 1.2368294; -0.1627133; 6.1997287; 3.6772533
17.3222726; -2.7887651; 2.4037822; 1.2062627; -0.1443495; 6.3167212; 4.1691045
17.5213792; -2.9737995; 2.4772900; 1.1797921; -0.1215589; 6.4467945; 4.8736981
17.7204858; -3.1570053; 2.5552483; 1.1579647; -0.0977031; 6.5955993; 5.2223642
17.9195924; -3.3386613; 2.6367564; 1.1408831; -0.0738833; 6.7514105; 5.2186528
18.1186990; -3.5190997; 2.7209283; 1.1285424; -0.0500792; 6.9035991; 3.3658355
18.3178055; -3.6986906; 2.8068955; 1.1209406; -0.0262797; 7.0000000; 0.0000000
18.5169121; -3.8778295; 2.8938015; 1.1180774; -0.0024809; 7.0000000; -7.0407266
18.7160187; -4.0569255; 2.9807959; 1.1199527; 0.0213180; 6.7967853; -8.1386389
18.9151253; -4.2363889; 3.0670292; 1.1265665; 0.0451171; 6.5540352; -7.3116680
19.1142319; -4.4166190; 3.1516467; 1.1379191; 0.0689195; 6.3280150; -6.5969546
19.3133385; -4.5979923; 3.2337825; 1.1540120; 0.0927344; 6.1169257; -5.9779926
19.5124450; -4.7808499; 3.3125551; 1.1748492; 0.1165802; 5.9191439; -5.4408699
19.7115516; -4.9654849; 3.3870614; 1.2004399; 0.1404880; 5.7332049; -4.9737321
19.9106582; -5.1521295; 3.4563735; 1.2308006; 0.1645048; 5.5577903; -4.5663393
20.1097648; -5.3409417; 3.5195349; 1.2659595; 0.1886969; 5.3917211; -4.2096866
20.3088714; -5.5319903; 3.5755578; 1.3059598; 0.2131539; 5.2339568; -3.8956617
20.5079780; -5.7252409; 3.6234225; 1.3508656; 0.2379932; 5.0836011; -3.6167130
20.7070845; -5.9205383; 3.6620771; 1.4007672; 0.2633650; 4.9399168; -3.3654930
20.9061911; -6.1175892; 3.6904392; 1.4557889; 0.2894586; 4.8023530; -3.1344337
21.1052977; -6.3159419; 3.7074003; 1.5160971; 0.3165107; 4.6705911; -2.9151807
21.3044043; -6.5149634; 3.7118318; 1.5819109; 0.3448161; 4.5446186; -2.6977684
21.5035109; -6.7138133; 3.7025946; 1.6535151; 0.3747419; 4.4248470; -2.4693277
21.7026174; -6.9114129; 3.6785540; 1.7312764; 0.4067476; 4.3123024; -2.2119392
21.9017240; -7.1064096; 3.6386001; 1.8156641; 0.4414123; 4.2089344; -1.8988675
22.1008306; -7.2971335; 3.5816768; 1.9072784; 0.4794746; 4.1181276; -1.4876852
22.2999372; -7.4815458; 3.5068241; 2.0068866; 0.5218888; 4.0455604; -0.9067998
22.4990438; -7.6571770; 3.4132379; 2.1154747; 0.5699158; 4.0006824; -0.0285439
22.6981504; -7.8210524; 3.3003579; 2.2343189; 0.6252308; 3.9992616; -9.0921980
22.8972569; -7.9696041; 3.1679960; 2.3650955; 0.6902278; 3.5175929; -0.7481001
