# 188fed73-f190-4235-a198-f19d8f81dd64
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -7.0322376; 9.8734473; 1.9833738; 0.6685861; 3.8452411; 0.0879791
0.1997781; -7.2095348; 9.7816930; 2.1116134; 0.6167222; 3.8498093; 0.8330907
0.3995562; -7.3742232; 9.6688012; 2.2302692; 0.5699709; 3.8928009; 1.3356744
0.5993344; -7.5250248; 9.5379071; 2.3395130; 0.5249812; 3.9607544; 1.7363205
0.7991125; -7.6612843; 9.3919299; 2.4404008; 0.4856895; 4.0473860; 2.0145236
0.9988906; -7.7827575; 9.2334139; 2.5339160; 0.4511547; 4.1456301; 2.2156717
1.1986687; -7.8894675; 9.0645922; 2.6208733; 0.4200314; 4.2510627; 2.3771364
1.3984468; -7.9816449; 8.8874144; 2.7019337; 0.3918366; 4.3613454; 2.5127990
1.5982250; -8.0596801; 8.7035580; 2.7776130; 0.3661415; 4.4749680; 2.6321538
1.7980031; -8.1240672; 8.5144813; 2.8483426; 0.3422876; 4.5909729; 2.7479789
1.9977812; -8.1753801; 8.3214444; 2.9144793; 0.3200148; 4.7090343; 2.8640960
2.1975593; -8.2142515; 8.1255163; 2.9763043; 0.2991083; 4.8290135; 2.9833655
2.3973375; -8.2413505; 7.9276108; 3.0340528; 0.2792091; 4.9508983; 3.1124506
2.5971156; -8.2573713; 7.7285012; 3.0879195; 0.2601649; 5.0749377; 3.2534908
2.7968937; -8.2630238; 7.5288237; 3.1380564; 0.2418592; 5.2014369; 3.4082291
2.9966718; -8.2590236; 7.3291024; -3.0985964; 0.2240847; 5.3307340; 3.5815332
3.1964499; -8.2460881; 7.1297596; -3.0555662; 0.2067495; 5.4633093; 3.7757253
3.3962281; -8.2249305; 6.9311179; -3.0159611; 0.1897885; 5.5996753; 3.9929629
3.5960062; -8.1962572; 6.7334183; -2.9797194; 0.1730814; 5.7403638; 4.2378521
3.7957843; -8.1607656; 6.5368277; -2.9467927; 0.1565748; 5.8860035; 4.5136304
3.9955624; -8.1191411; 6.3414414; -2.9171248; 0.1406217; 6.0372581; 4.8095026
4.1953405; -8.0720436; 6.1472996; -2.8905852; 0.1253972; 6.1943646; 5.1200122
4.3951187; -8.0200735; 5.9544049; -2.8666132; 0.1145971; 6.3573489; 5.2278717
4.5948968; -7.9636903; 5.7627521; -2.8445136; 0.1087106; 6.5195640; 5.2241439
4.7946749; -7.9031543; 5.5723705; -2.8230215; 0.1066017; 6.6777282; 5.1668312
4.9944530; -7.8385682; 5.3833244; -2.8017540; 0.1063176; 6.8305559; 4.9563281
5.1942311; -7.7699815; 5.1956926; -2.7805384; 0.1060818; 6.9740107; 4.7537173
5.3940093; -7.6974338; 5.0095565; -2.7593651; 0.1058937; 7.1088819; 4.5583428
5.5937874; -7.6209648; 4.8249967; -2.7382247; 0.1057530; 7.2358494; 4.3695980
5.7935655; -7.5406138; 4.6420936; -2.7171077; 0.1056594; 7.3555025; 4.1869091
5.9933436; -7.4564200; 4.4609272; -2.6960047; 0.1056129; 7.4683548; 4.0097593
6.1931218; -7.3684227; 4.2815776; -2.6749063; 0.1056134; 7.5748562; 3.8376662
6.3928999; -7.2766609; 4.1041245; -2.6538031; 0.1056609; 7.6754030; 3.6701885
6.5926780; -7.1811739; 3.9286478; -2.6326857; 0.1057554; 7.7703447; 3.5069174
6.7924561; -7.0820010; 3.7552276; -2.6115447; 0.1058972; 7.8599916; 3.3474733
6.9922342; -6.9791815; 3.5839443; -2.5903706; 0.1060862; 7.9446190; 2.2100223
7.1920124; -6.8727551; 3.4148785; -2.5691541; 0.1063229; 8.0000000; 0.0000000
7.3917905; -6.7627618; 3.2481113; -2.5478854; 0.1066076; 8.0000000; 0.0000000
7.5915686; -6.6492418; 3.0837246; -2.5265551; 0.1069405; 8.0000000; 0.0000000
7.7913467; -6.5322358; 2.9218006; -2.5051534; 0.1073222; 8.0000000; 0.0000000
7.9911248; -6.4117851; 2.7624224; -2.4836706; 0.1077533; 8.0000000; 0.0000000
8.1909030; -6.2879316; 2.6056739; -2.4620966; 0.1082340; 8.0000000; 0.0000000
