# f83ee42a-9e1f-46f0-bfcd-e3d919c4f27a
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -7.6899264; 5.1130363; -2.6890095; 0.1480729; 5.6645113; 2.7204760
0.1990156; -7.6002960; 4.9353114; -2.6601997; 0.1414099; 5.7592988; 2.8193255
0.3980312; -7.5057096; 4.7601921; -2.6327671; 0.1341083; 5.8559118; 2.9136528
0.5970468; -7.4064847; 4.5876779; -2.6067007; 0.1278276; 5.9541101; 3.0030744
0.7960624; -7.3029075; 4.4177588; -2.5818207; 0.1221743; 6.0536555; 3.0874405
0.9950780; -7.1952343; 4.2504233; -2.5580076; 0.1171183; 6.1543190; 3.1669435
1.1940937; -7.0836785; 4.0856308; -2.5351617; 0.1124141; 6.2558920; 3.2413116
1.3931093; -6.9684255; 3.9233272; -2.5132156; 0.1080260; 6.3581702; 3.3096541
1.5921249; -6.8497062; 3.7635398; -2.4921173; 0.1039341; 6.4609344; 3.3725736
1.7911405; -6.7277081; 3.6062477; -2.4718087; 0.1001334; 6.5639975; 3.4301630
1.9901561; -6.6026055; 3.4514277; -2.4522328; 0.0966135; 6.6671864; 3.4825732
2.1891717; -6.4745593; 3.2990549; -2.4333345; 0.0933603; 6.7703433; 3.5300095
2.3881873; -6.3437181; 3.1491034; -2.4150616; 0.0903566; 6.8733254; 3.5727276
2.5872029; -6.2102184; 3.0015467; -2.3973650; 0.0875827; 6.9760060; 3.6110284
2.7862185; -6.0741855; 2.8563579; -2.3801999; 0.0850172; 7.0782739; 3.6452507
2.9852341; -5.9357344; 2.7135099; -2.3635254; 0.0826374; 7.1800338; 3.6743482
3.1842497; -5.7949011; 2.5729071; -2.3472975; 0.0804482; 7.2811668; 3.6995408
3.3832653; -5.6517840; 2.4345303; -2.3314845; 0.0784247; 7.3815935; 3.7232372
3.5822810; -5.5065531; 2.2984318; -2.3160681; 0.0765154; 7.4813025; 3.7444220
3.7812966; -5.3592933; 2.1645847; -2.3010251; 0.0747040; 7.5802562; 3.7633798
3.9803122; -5.2100833; 2.0329616; -2.2863352; 0.0729770; 7.6784261; 3.7800605
4.1793278; -5.0589894; 1.9035291; -2.2719797; 0.0713313; 7.7757835; 3.7904658
4.3783434; -4.9059883; 1.7761846; -2.2579342; 0.0697899; 7.8722000; 3.5959884
4.5773590; -4.7512616; 1.6510012; -2.2441945; 0.0681908; 7.9625905; 1.5001179
4.7763746; -4.5948714; 1.5279457; -2.2307837; 0.0668407; 7.9999964; 0.0000002
4.9753902; -4.4368695; 1.4069916; -2.2175507; 0.0662544; 7.9999964; 0.0000004
5.1744058; -4.2772704; 1.2881179; -2.2044276; 0.0656086; 7.9999964; 0.0000005
5.3734214; -4.1161234; 1.1713318; -2.1914328; 0.0649848; 7.9999964; 0.0000006
5.5724370; -3.9534903; 1.0566470; -2.1785606; 0.0644098; 7.9999964; 0.0000007
5.7714527; -3.7893983; 0.9440547; -2.1657915; 0.0639510; 7.9999964; 0.0000007
5.9704683; -3.6238733; 0.8335519; -2.1530923; 0.0636821; 7.9999965; 0.0000000
6.1694839; -3.4569971; 0.7251807; -2.1404232; 0.0637157; 7.9999965; -0.0000006
6.3684995; -3.2887548; 0.6189317; -2.1277156; 0.0639366; 7.9999964; -0.0000271
6.5675151; -3.1191526; 0.5148209; -2.1149139; 0.0653482; 7.9999958; -5.1558098
6.7665307; -2.9481720; 0.4129067; -2.1015931; 0.0687166; 7.8706899; -6.9462780
6.9655463; -2.7758513; 0.3133569; -2.0876326; 0.0715886; 7.6930438; -6.8648416
7.1645619; -2.6021940; 0.2163169; -2.0729694; 0.0759674; 7.5133549; -6.7456875
7.3635775; -2.4270592; 0.1218987; -2.0573470; 0.0813551; 7.3324967; -6.5996724
7.5625931; -2.2503791; 0.0303096; -2.0405225; 0.0880836; 7.1511281; -6.4282277
7.7616087; -2.0720774; -0.0581833; -2.0221435; 0.0971135; 6.9699352; -6.2316204
7.9606243; -1.8920502; -0.1432266; -2.0016956; 0.1085638; 6.7896699; -6.0131310
8.1596400; -1.7103291; -0.2244026; -1.9801858; 0.1073043; 6.6110668; -5.7942089
8.3586556; -1.5269297; -0.3016590; -1.9587370; 0.1089157; 6.4342776; -5.5807541
8.5576712; -1.3418517; -0.3749241; -1.9365411; 0.1143517; 6.2592822; -5.3749143
8.7566868; -1.1551331; -0.4439593; -1.9130970; 0.1214996; 6.0859863; -5.1836902
8.9557024; -0.9668043; -0.5084508; -1.8880539; 0.1303000; 5.9140476; -5.0062642
9.1547180; -0.7768934; -0.5680218; -1.8611070; 0.1407954; 5.7431098; -4.8410038
9.3537336; -0.5854378; -0.6222278; -1.8318816; 0.1532673; 5.5728305; -4.7042309
9.5527492; -0.3924839; -0.6705476; -1.7999789; 0.1677900; 5.4022225; -4.6276847
9.7517648; -0.1978603; -0.7124229; -1.7649103; 0.1848896; 5.2289622; -4.6227040
9.9507804; -0.0018866; -0.7470877; -1.7261739; 0.2050585; 5.0499569; -4.7143627
10.1497960; 0.1952113; -0.7737080; -1.6831323; 0.2289081; 4.8606174; -4.9595444
10.3488116; 0.3932430; -0.7913228; -1.6349007; 0.2579235; 4.6531224; -5.4944337
10.5478273; 0.5920097; -0.7987369; -1.5798648; 0.2966615; 4.4118694; -6.6522186
10.7468429; 0.7911496; -0.7942025; -1.5136966; 0.3655087; 4.1008293; -8.0606822
10.9458585; 0.9888270; -0.7745761; -1.4251943; 0.5208864; 3.6889562; -10.0572304
11.1448741; 1.1833942; -0.7332249; -1.2875445; 0.8238246; 3.0992429; -4.3500441
11.3438897; 1.3679657; -0.6615697; -1.1097867; 0.9342183; 2.8060387; -2.7405436
11.5429053; 1.5338036; -0.5576050; -0.9035791; 1.1589307; 2.6044253; -1.7396458
11.7419209; 1.6730185; -0.4188776; -0.6691692; 1.2123243; 2.4679136; -1.1353415
11.9409365; 1.7782723; -0.2453762; -0.4219765; 1.1780022; 2.3745940; -0.2261265
12.1399521; 1.8382821; -0.0607072; -0.2116603; 1.0134637; 2.3555660; -0.1368826
12.3389677; 1.8608375; 0.1414222; -0.0147190; 0.8704358; 2.3439726; 0.0414907
12.5379833; 1.8478556; 0.3404452; 0.1396596; 0.7087623; 2.3474927; 0.0238641
12.7369990; 1.8053911; 0.5393116; 0.2788516; 0.6244133; 2.3495150; -0.0075070
12.9360146; 1.7393143; 0.7289212; 0.3856555; 0.4400275; 2.3488790; -0.0034397
13.1350302; 1.6563354; 0.9127514; 0.4573629; 0.2851563; 2.3485876; 0.0005137
13.3340458; 1.5686266; 1.0821834; 0.4888509; -0.0051314; 2.3486311; 0.0006007
13.5330614; 1.4731989; 1.2602203; 0.4999455; 0.1363567; 2.3486820; -0.0002229
13.7320770; 1.3740073; 1.4317823; 0.5631836; 0.5756153; 2.3486631; 0.0000688
13.9310926; 1.2570833; 1.5904079; 0.7181549; 0.9433846; 2.3486690; 1.7686632
14.1301082; 1.1134479; 1.7283173; 0.8823220; 0.6726934; 2.4940387; 5.4767822
14.3291238; 0.9527857; 1.8448876; 0.9994891; 0.5475784; 2.8983028; 5.3690905
14.5281394; 0.7805703; 1.9435893; 1.0962788; 0.4065233; 3.2461092; 4.6922185
14.7271550; 0.6006486; 2.0282165; 1.1606006; 0.2448672; 3.5220554; 4.4281711
14.9261706; 0.4165831; 2.1039703; 1.1958930; 0.1163088; 3.7639640; 4.2994291
15.1251863; 0.2309572; 2.1752580; 1.2092337; 0.0226327; 3.9848126; 4.3928409
15.3242019; 0.0445920; 2.2457894; 1.2064988; -0.0463601; 4.1984782; 4.5816477
