# 901e5322-45f3-4300-9c2c-79f5da9cfdcf
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -7.8723565; 5.0335841; -2.7925891; 0.1031523; 7.0000000; 0.0000000
0.1991696; -7.8023288; 4.8471349; -2.7720188; 0.1034157; 7.0000000; 0.0000000
0.3983393; -7.7284758; 4.6621677; -2.7513917; 0.1037234; 7.0000000; 0.0000000
0.5975089; -7.6508175; 4.4787656; -2.7306988; 0.1040757; 7.0000000; 0.0000000
0.7966786; -7.5693744; 4.2970127; -2.7099312; 0.1044732; 7.0000000; 0.0000000
0.9958482; -7.4841672; 4.1169937; -2.6890800; 0.1049164; 7.0000000; 0.0000000
1.1950178; -7.3952170; 3.9387945; -2.6681358; 0.1054057; 7.0000000; 0.0000000
1.3941875; -7.3025455; 3.7625019; -2.6470896; 0.1059419; 7.0000000; 0.0000000
1.5933571; -7.2061749; 3.5882039; -2.6259319; 0.1065257; 7.0000000; 0.0000000
1.7925268; -7.1061282; 3.4159898; -2.6046530; 0.1071577; 7.0000000; 0.0000000
1.9916964; -7.0024290; 3.2459501; -2.5832435; 0.1078388; 7.0000000; 0.0000000
2.1908660; -6.8951016; 3.0781769; -2.5616933; 0.1085699; 7.0000000; 0.0000000
2.3900357; -6.7841716; 2.9127636; -2.5399924; 0.1093519; 7.0000000; 0.0000000
2.5892053; -6.6696656; 2.7498056; -2.5181307; 0.1101859; 7.0000000; 0.0000000
2.7883750; -6.5516110; 2.5893997; -2.4960975; 0.1110730; 7.0000000; 0.0000000
2.9875446; -6.4300369; 2.4316446; -2.4738823; 0.1120143; 7.0000000; 0.0000000
3.1867142; -6.3049738; 2.2766411; -2.4514741; 0.1130113; 7.0000000; 0.0000000
3.3858839; -6.1764537; 2.1244917; -2.4288617; 0.1140653; 7.0000000; 0.0000000
3.5850535; -6.0445103; 1.9753011; -2.4060336; 0.1151778; 7.0000000; 0.0000000
3.7842231; -5.9091796; 1.8291767; -2.3829779; 0.1163504; 7.0000000; 0.0000000
3.9833928; -5.7704991; 1.6862275; -2.3596825; 0.1175851; 7.0000000; 0.0000000
4.1825624; -5.6285090; 1.5465651; -2.3361349; 0.1188837; 7.0000000; 0.0000000
4.3817321; -5.4832522; 1.4103040; -2.3123221; 0.1202481; 7.0000000; 0.0000000
4.5809017; -5.3347738; 1.2775607; -2.2882308; 0.1216808; 7.0000000; 0.0000000
4.7800713; -5.1831221; 1.1484545; -2.2638472; 0.1231840; 7.0000000; 0.0000000
4.9792410; -5.0283489; 1.0231080; -2.2391570; 0.1247603; 7.0000000; 0.0000000
5.1784106; -4.8705091; 0.9016458; -2.2141452; 0.1264127; 7.0000000; 0.0000000
5.3775803; -4.7096613; 0.7841960; -2.1887966; 0.1281441; 7.0000000; 0.0000000
5.5767499; -4.5458687; 0.6708896; -2.1630950; 0.1299575; 7.0000000; 0.0000000
5.7759195; -4.3791985; 0.5618605; -2.1370237; 0.1318569; 7.0000000; 0.0000000
5.9750892; -4.2097228; 0.4572459; -2.1105652; 0.1338460; 7.0000000; 0.0000000
6.1742588; -4.0375187; 0.3571862; -2.0837014; 0.1359286; 7.0000000; 0.0000000
6.3734285; -3.8626692; 0.2618250; -2.0564130; 0.1381097; 7.0000000; 0.0000000
6.5725981; -3.6852632; 0.1713093; -2.0286800; 0.1403938; 7.0000000; 0.0000000
6.7717677; -3.5053957; 0.0857894; -2.0004814; 0.1427862; 7.0000000; 0.0000000
6.9709374; -3.3231694; 0.0054191; -1.9717950; 0.1452930; 7.0000000; 0.0000000
7.1701070; -3.1386940; -0.0696446; -1.9425975; 0.1479201; 7.0000000; -1.9528921
