# 4b7fa04b-be7c-4353-86cd-6fd77aca82b5
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.7328776; -0.0919154; 1.8647336; 0.4673965; 2.5000000; 0.0000000
0.1982700; 1.5460848; -0.1581752; 1.9592519; 0.4867349; 2.6000000; 0.0000000
0.3965401; 1.3665580; -0.2421356; 2.0580414; 0.5105801; 2.7000000; 0.0000000
0.5948101; 1.1964052; -0.3437460; 2.1607515; 0.5264526; 2.8000000; 0.0000000
0.7930802; 1.0375667; -0.4622702; 2.2619201; 0.4949879; 2.9000000; 0.0000000
0.9913502; 0.8910499; -0.5957430; 2.3560429; 0.4551414; 3.0000000; 0.0000000
1.1896203; 0.7571588; -0.7418928; 2.4426421; 0.4189438; 3.0000000; 0.0000000
1.3878903; 0.6358569; -0.8986607; 2.5223613; 0.3856239; 3.0000000; 0.0000000
1.5861604; 0.5268855; -1.0642467; 2.5957056; 0.3545446; 3.0000000; 0.0000000
1.7844304; 0.4298152; -1.2370864; 2.6630680; 0.3252109; 3.0000000; 0.0000000
1.9827005; 0.3440850; -1.4158291; 2.7247541; 0.2972266; 3.0000000; 0.0000000
2.1809705; 0.2690321; -1.5993168; 2.7809988; 0.2702751; 3.0000000; 0.0000000
2.3792406; 0.2039158; -1.7865664; 2.8319807; 0.2441023; 3.0000000; 0.0000000
2.5775106; 0.1479354; -1.9767515; 2.8778335; 0.2185054; 3.0000000; 0.0000000
2.7757807; 0.1002448; -2.1691864; 2.9186546; 0.1933234; 3.0000000; 0.0000000
2.9740507; 0.0599638; -2.3633107; 2.9545132; 0.1684303; 3.0000000; 0.0000000
3.1723208; 0.0261870; -2.5586745; 2.9854568; 0.1437294; 3.0000000; 0.0000000
3.3705908; -0.0020094; -2.7549238; 3.0115158; 0.1191486; 3.0000000; 0.0000000
3.5688609; -0.0255623; -2.9517862; 3.0327086; 0.0946369; 3.0000000; 0.0000000
3.7671309; -0.0454175; -3.1490574; 3.0490452; 0.0701587; 3.0000000; 0.0000000
3.9654010; -0.0625023; -3.3465888; 3.0609017; 0.0494447; 3.0000000; 0.0000000
4.1636710; -0.0775387; -3.5442871; 3.0703391; 0.0457569; 3.0000000; 0.0000000
4.3619411; -0.0906882; -3.7421198; 3.0804535; 0.0562707; 3.0000000; 0.0000000
4.5602111; -0.1016120; -3.9400874; 3.0929214; 0.0694971; 3.0000000; 0.0000000
4.7584812; -0.1098069; -4.1381861; 3.1080127; 0.0827357; 3.0000000; 0.0000000
4.9567512; -0.1147512; -4.3363920; 3.1257305; 0.0959927; 3.0000000; 0.0000000
5.1550213; -0.1159224; -4.5346551; -3.1371058; 0.1092793; 3.0000000; 0.0000000
5.3532913; -0.1127978; -4.7328962; -3.1141184; 0.1226104; 3.0000000; 0.0000000
5.5515614; -0.1048552; -4.9310017; -3.0884818; 0.1360059; 3.0000000; 0.0000000
5.7498314; -0.0915739; -5.1288198; -3.0601809; 0.1494909; 3.0000000; 0.0000000
5.9481015; -0.0724358; -5.3261561; -3.0291950; 0.1630972; 3.0000000; 0.0000000
6.1463715; -0.0469272; -5.5227690; -2.9954961; 0.1768635; 3.0000000; 0.0000000
6.3446416; -0.0145407; -5.7183650; -2.9590481; 0.1908369; 3.0000000; 0.0000000
6.5429116; 0.0252221; -5.9125940; -2.9198046; 0.2050734; 3.0000000; 0.0000000
6.7411817; 0.0728477; -6.1050441; -2.8777068; 0.2196397; 3.0000000; 0.0000000
6.9394517; 0.1288071; -6.2952360; -2.8326819; 0.2346146; 3.0000000; 0.0000000
7.1377218; 0.1935506; -6.4826174; -2.7846398; 0.2500909; 3.0000000; 0.0000000
7.3359918; 0.2675031; -6.6665562; -2.7334706; 0.2661778; 3.0000000; 0.0000000
7.5342619; 0.3510564; -6.8463344; -2.6790408; 0.2830040; 3.0000000; 0.0000000
7.7325319; 0.4445617; -7.0211397; -2.6211891; 0.3007221; 3.0000000; 0.0000000
7.9308020; 0.5483184; -7.1900576; -2.5597213; 0.3195130; 3.0000000; 0.0000000
8.1290720; 0.6625619; -7.3520623; -2.4944038; 0.3395935; 3.0000000; 0.0000000
8.3273421; 0.7874473; -7.5060068; -2.4249557; 0.3612256; 3.0000000; 0.0000000
8.5256121; 0.9230297; -7.6506119; -2.3510390; 0.3847259; 3.0000000; 0.0000000
8.7238822; 1.0692381; -7.7844547; -2.2722449; 0.4104967; 3.0000000; 0.0000000
8.9221522; 1.2258437; -7.9059561; -2.1880774; 0.4390165; 3.0000000; 0.0000000
9.1204223; 1.3923914; -8.0134125; -2.0987013; 0.4631683; 3.0000000; 0.0000000
9.3186923; 1.5679960; -8.1053194; -2.0073867; 0.4586001; 3.0000000; 0.0000000
9.5169624; 1.7512074; -8.1809381; -1.9173715; 0.4500096; 3.0000000; 0.0000000
9.7152324; 1.9404335; -8.2399204; -1.8287049; 0.4449735; 3.0000000; 0.0000000
9.9135025; 2.1341238; -8.2819896; -1.7406923; 0.4433991; 3.0000000; 0.0000000
