# a0608614-cf28-4f0e-80e3-03acfc38b781
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.0720273; -2.4961775; 1.9175999; 0.8006822; 3.0000000; 0.0000000
0.1994520; 0.8903848; -2.5781043; 2.0686021; 0.7162672; 3.0000000; 0.0000000
0.3989039; 0.7222522; -2.6851176; 2.2042850; 0.6463201; 3.0000000; 0.0000000
0.5983559; 0.5692732; -2.8129017; 2.3271335; 0.5870519; 3.0000000; 0.0000000
0.7978078; 0.4322742; -2.9577157; 2.4389952; 0.5357843; 3.0000000; 0.0000000
0.9972598; 0.3115082; -3.1163417; 2.5412654; 0.4906049; 3.0000000; 0.0000000
1.1967117; 0.2068230; -3.2860270; 2.6350108; 0.4501014; 3.0000000; 0.0000000
1.3961637; 0.1177777; -3.4644300; 2.7210531; 0.4132100; 3.0000000; 0.0000000
1.5956156; 0.0437263; -3.6495702; 2.8000279; 0.3791139; 3.0000000; 0.0000000
1.7950676; -0.0161232; -3.8397854; 2.8724268; 0.3471771; 3.0000000; 0.0000000
1.9945196; -0.0626646; -4.0336940; 2.9386286; 0.3168986; 3.0000000; 0.0000000
2.1939715; -0.0968620; -4.2301619; 2.9989229; 0.2878817; 3.0000000; 0.0000000
2.3934235; -0.1197258; -4.4282742; 3.0535286; 0.2598097; 3.0000000; 0.0000000
2.5928754; -0.1322954; -4.6273097; 3.1026086; 0.2324355; 3.0000000; 0.0000000
2.7923274; -0.1355913; -4.8267183; -3.1363809; 0.2108044; 3.0000000; 0.0000000
2.9917793; -0.1303618; -5.0260871; -3.0943643; 0.2105747; 3.0000000; 0.0000000
3.1912313; -0.1167301; -5.2250577; -3.0518332; 0.2159687; 3.0000000; 0.0000000
3.3906832; -0.0945418; -5.4232557; -3.0081868; 0.2217642; 3.0000000; 0.0000000
3.5901352; -0.0636101; -5.6202778; -2.9633418; 0.2279927; 3.0000000; 0.0000000
3.7895871; -0.0237529; -5.8156888; -2.9172082; 0.2346928; 3.0000000; 0.0000000
3.9890391; 0.0252059; -6.0090193; -2.8696877; 0.2419070; 3.0000000; 0.0000000
4.1884911; 0.0834336; -6.1997618; -2.8206730; 0.2496842; 3.0000000; 0.0000000
